"periodo","prov","proporcion_mujeres","ratioexp","ratioanalf","ratiobach","ratiouniv","ratio_asistencia_clases","edad_prom","promedio_ingpc"
"2014T1",1,0.530944346320119,0.155392241808909,0.936920668544368,0.276310214027542,0.138742534266449,0.936920668544368,31.6704818885458,222.589056111963
"2014T1",2,0.515919850786862,0.158497849169762,0.880267909601456,0.187712874500937,0.0970505551027685,0.880267909601456,31.4672851477423,131.05858859127
"2014T1",3,0.509687895445888,0.163799848213668,0.894861597811452,0.237865709042799,0.0818515053760679,0.894861597811452,32.49550027971,161.262195426921
"2014T1",4,0.496022257746919,0.12555508763531,0.945520461612179,0.191025309903278,0.0991414784498411,0.945520461612179,33.0081451693176,167.741635957183
"2014T1",5,0.531900443288599,0.155397504500482,0.858363536831491,0.168554221630631,0.0914844710386017,0.858363536831491,30.535334834704,181.027339348061
"2014T1",6,0.524786241253588,0.18933509467301,0.870545653857407,0.2368177132859,0.117239824700602,0.870545653857407,32.8206444651817,164.56372630889
"2014T1",7,0.505575461881473,0.106152239436175,0.963528230440213,0.287749046205564,0.11972073636232,0.963528230440213,30.5482761064477,198.672133048146
"2014T1",8,0.504604304004543,0.0775762304565231,0.919023367926494,0.196184649899769,0.0942011321185953,0.919023367926494,27.8922321316914,156.03286537416
"2014T1",9,0.50936050134781,0.0907477876538257,0.939941806687419,0.225568644267636,0.112233045576,0.939941806687419,30.0819983417686,198.838692633281
"2014T1",10,0.504385948912361,0.106963734309856,0.897635782297555,0.204629875394943,0.1179521590603,0.897635782297555,32.6946616315732,212.215366343213
"2014T1",11,0.492899408740511,0.152248354599097,0.947016736064957,0.27512667869142,0.146518705069723,0.947016736064957,32.9921428906204,189.341133124213
"2014T1",12,0.494213557151678,0.0948881071294021,0.917797907508657,0.192648676395737,0.104461262453045,0.917797907508657,28.4559229678171,143.975491273617
"2014T1",13,0.493972322084644,0.0878341141934055,0.904628077679184,0.196203309703263,0.111126227923301,0.904628077679184,30.542446882795,147.06059022166
