"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
0,0.500471138565297,0.935904004932239,0,0.810751044104678,0.249331487714655,0.863555110333124,0,0.736213601125858,0,0.659205282221621,0.394492657898293,0.188815416677834,0.551565341016941,0,0,0.121013645074302,0,0.450133961306147,0.0530567702726963,0,0.316487203618052,0.601690979597461
0.208188630973841,0,0.485369097916784,0,0.857716343177876,0.667260427986888,0,0,0.569465012721441,0,0,0.926996900413822,0.316808645793219,0.142422253103585,0,0,0,0,0,0.396207590280232,0,0.755370790534304,0
0.839975735192554,0.6391458691166,0,0,0.737908263966667,0,0.25833212419187,0,0.495068928458697,0,0,0.150780423344019,0,0.398178716417786,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.286229602516185,0,0.658228388438183,0,0.899049849061024,0,0,0,0,0.578802973256414,0.0832944335229885,0,0.736550161231648,0,0.47707226164635,0.386760987861387,0.169456275364778,0
0.403849691605991,0.932146544192409,0.847026617467065,0,0,0.513792341303159,0,0,0.304863449517945,0,0,0.602975598554132,0,0.676867636020313,0.234403690010024,0,0,0,0,0.144156488176573,0,0.74343483227843,0
0,0.695609519599339,0,0,0.278462187599428,0,0,0,0,0.0808172478113519,0,0.609661172987153,0.184983855308129,0,0.360027893446907,0,0,0.441983947712831,0,0.774534022679316,0,0.879506060938666,0
0.841854822145925,0.495091433413385,0.721500876682886,0,0.545657783237815,0.186864770440692,0,0,0.647733477725,0,0.923787251659556,0.390417166435525,0.253326702717549,0.445483641256647,0,0,0.0525086424179463,0,0.597916332289187,0.119609956013456,0,0.313217584093845,0.784934698005544
0,0.348228073544223,0,0.702080967236577,0.297102409852745,0.637059827929167,0,0,0.166523143723909,0.934708013773327,0,0.473224235851206,0.578467289196016,0,0.527096953779375,0.0620586731640682,0,0.763810521888476,0.117785957754258,0.868911180787025,0.238691378375976,0.397698222298029,0
0,0,0,0,0,0,0,0,0,0,0,0.325290186919705,0,0,0,0,0,0,0.679529398366957,0,0,0,0
0,0,0,0.894925701215267,0,0.319684456805707,0,0.629800231775961,0,0,0,0,0,0,0.430361597722035,0,0,0.716026337727984,0,0.517802727059164,0.0917006139417493,0.191126216610106,0
0.776796624689473,0.416781530854131,0.709519965266067,0,0.47041120386593,0.206014545913644,0.924060903704532,0,0.631283717271536,0,0,0.358379114052782,0.142495458699494,0.52583558999281,0,0,0.0713291293266197,0,0.578448635653421,0,0,0.276502760074163,0.863692543005401
0,0.798288550717806,0,0,0,0.533168906365249,0,0,0.238907426048069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.340515093601989,0,0,0,0.47984162045897,0,0,0.137262228252587,0,0,0.848274184121994,0,0,0,0,0,0,0,0.662965579860617,0,0,0
0.716551793645028,0.437058676789942,0.834065386074446,0,0.925046896929207,0.260094942442157,0,0,0,0,0,0.105802697505425,0,0,0.184783136839005,0,0.509584701700784,0,0,0,0,0.60582640311438,0.355419595549811
0,0,0,0,0,0.334920102612021,0,0,0,0.158145120620846,0,0,0,0,0,0,0,0.51096177930737,0,0,0,0.795516870334171,0
0,0,0,0.411816158854438,0,0,0,0,0,0.288996503844635,0,0,0,0,0.670005295214873,0,0.766637167489458,0.0912934255157153,0,0,0.890123993014432,0.527934583861976,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465495217733469,0,0,0,0,0,0,0
0,0.293546987845487,0,0.528100894812898,0.149671580282667,0.742837563998271,0,0.609047944964532,0,0.9143814707008,0,0.358418063536293,0.216713561813345,0,0.67547474013333,0,0,0,0,0.828100926971055,0.0730761679065118,0.429062305577687,0
0,0.169461260481304,0,0,0,0,0.304547515739359,0,0.802932944142757,0,0,0.655824760544868,0.495828341635478,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.391053900816671,0,0.209730312511771,0,0,0,0,0,0,0,0,0,0.623795204772135,0,0,0,0,0
0,0,0,0.436803120973693,0,0,0,0,0,0,0,0,0,0,0.642729048443071,0.81409726946359,0.217809976045755,0,0,0,0,0,0
0,0.816672197656389,0.193270397929891,0,0.734807841628655,0.895885680238554,0,0,0,0,0,0.566288664245311,0,0.115558520493782,0.652551707934432,0,0,0.397997494261842,0,0.292641104297052,0,0,0
0.77357754592788,0.488134322561181,0.7110615430651,0,0.610669097114309,0.177054935180974,0.854324502223874,0,0.537969032255001,0,0.924889967306295,0.384768254310471,0.118030609773708,0.662171521751201,0.0662817103494749,0,0.242555235523146,0,0.439037977082647,0,0,0.308685666031118,0
