"","periodo","prov","RatioDocente","Ratio_Desertores","Ratio_BACH"
"1","2014T1",1,13.024444746138,0.019472707380462,454
"2","2014T1",2,13.1890949216457,0.0303941483789133,313
"3","2014T1",3,14.0629768292765,0.0268247154706357,440
"4","2014T1",4,13.0698186626797,0.0391834694162028,430
"5","2014T1",5,14.1204369806618,0.0322498387826191,417
"6","2014T1",6,15.2310733343565,0.0500991220331138,354
"7","2014T1",7,12.9532527029888,0.0261149995330124,473
"8","2014T1",8,19.3582487087036,0.0336958182401417,364
"9","2014T1",9,17.3742551666324,0.025683768075251,607
"10","2014T1",10,16.2672128513803,0.026018921282169,502
"11","2014T1",11,9.55350776617401,0.0181221677755155,342
"12","2014T1",12,21.777779328187,0.0255516635312365,594
"13","2014T1",13,13.8322230477406,0.0196890858564749,319
"14","2014T1",14,16.3735342752224,0.0509906407946669,216
"15","2014T1",15,12.1928215886182,0.0443954104099278,286
"16","2014T1",16,14.2980068221098,0.0497837020875595,258
"17","2014T1",17,11.5473486968953,0.029525628154723,499
"18","2014T1",18,15.2659064659691,0.0253801072247396,534
"19","2014T1",19,11.2664781014415,0.022757314177888,400
"20","2014T1",21,12.8437727070119,0.0436770773560432,232
"21","2014T1",22,14.7703824726853,0.0345402774361426,206
"22","2014T1",23,15.7451137683328,0.0275989983282985,396
"23","2014T1",24,19.3675225642101,0.0201062780774831,585
"24","2014T1",90,19.8161473931661,0.0292321302714649,320
"25","2014T4",1,13.024444746138,0.019472707380462,454
"26","2014T4",2,13.1890949216457,0.0303941483789133,313
"27","2014T4",3,14.0629768292765,0.0268247154706357,440
"28","2014T4",4,13.0698186626797,0.0391834694162028,430
"29","2014T4",5,14.1204369806618,0.0322498387826191,417
"30","2014T4",6,15.2310733343565,0.0500991220331138,354
"31","2014T4",7,12.9532527029888,0.0261149995330124,473
"32","2014T4",8,19.3582487087036,0.0336958182401417,364
"33","2014T4",9,17.3742551666324,0.025683768075251,607
"34","2014T4",10,16.2672128513803,0.026018921282169,502
"35","2014T4",11,9.55350776617401,0.0181221677755155,342
"36","2014T4",12,21.777779328187,0.0255516635312365,594
"37","2014T4",13,13.8322230477406,0.0196890858564749,319
"38","2014T4",14,16.3735342752224,0.0509906407946669,216
"39","2014T4",15,12.1928215886182,0.0443954104099278,286
"40","2014T4",16,14.2980068221098,0.0497837020875595,258
"41","2014T4",17,11.5473486968953,0.029525628154723,499
"42","2014T4",18,15.2659064659691,0.0253801072247396,534
"43","2014T4",19,11.2664781014415,0.022757314177888,400
"44","2014T4",21,12.8437727070119,0.0436770773560432,232
"45","2014T4",22,14.7703824726853,0.0345402774361426,206
