"periodo","prov","proporcion_mujeres","ratioexp","ratioanalf","ratiobach","ratiouniv","ratio_asistencia_clases","edad_prom","promedio_ingpc","ratio_empleo_pleno"
"2014T1",1,0.530944346320119,0.155392241808909,0.936920668544368,0.276310214027542,0.138742534266449,NA,31.6704818885458,222.589056111963,0.294620568057798
"2014T1",2,0.515919850786862,0.158497849169762,0.880267909601456,0.187712874500937,0.0970505551027685,NA,31.4672851477423,131.05858859127,0.152540532346064
"2014T1",3,0.509687895445888,0.163799848213668,0.894861597811452,0.237865709042799,0.0818515053760679,NA,32.49550027971,161.262195426921,0.186013985033727
"2014T1",4,0.496022257746919,0.12555508763531,0.945520461612179,0.191025309903278,0.0991414784498411,NA,33.0081451693176,167.741635957183,0.207942974954817
"2014T1",5,0.531900443288599,0.155397504500482,0.858363536831491,0.168554221630631,0.0914844710386017,NA,30.535334834704,181.027339348061,0.25534956283309
"2014T1",6,0.524786241253588,0.18933509467301,0.870545653857407,0.2368177132859,0.117239824700602,NA,32.8206444651817,164.56372630889,0.2343914401634
"2014T1",7,0.505575461881473,0.106152239436175,0.963528230440213,0.287749046205564,0.11972073636232,NA,30.5482761064477,198.672133048146,0.293168299941493
"2014T1",8,0.504604304004543,0.0775762304565231,0.919023367926494,0.196184649899769,0.0942011321185953,NA,27.8922321316914,156.03286537416,0.219155616771756
"2014T1",9,0.50936050134781,0.0907477876538257,0.939941806687419,0.225568644267636,0.112233045576,NA,30.0819983417686,198.838692633281,0.314053191604761
"2014T1",10,0.504385948912361,0.106963734309856,0.897635782297555,0.204629875394943,0.1179521590603,NA,32.6946616315732,212.215366343213,0.292584690358429
"2014T1",11,0.492899408740511,0.152248354599097,0.947016736064957,0.27512667869142,0.146518705069723,NA,32.9921428906204,189.341133124213,0.240722696604733
"2014T1",12,0.494213557151678,0.0948881071294021,0.917797907508657,0.192648676395737,0.104461262453045,NA,28.4559229678171,143.975491273617,0.195076073522824
"2014T1",13,0.493972322084644,0.0878341141934055,0.904628077679184,0.196203309703263,0.111126227923301,NA,30.542446882795,147.06059022166,0.195320375781154
"2014T1",14,0.506312709861778,0.151604342938267,0.902929633745767,0.223125018556339,0.0615889702685573,NA,25.7747710262066,142.041513417303,0.227970953792929
"2014T1",15,0.464378248447806,0.119856555096343,0.924621189203031,0.140988450718871,0.0684202289643129,NA,26.1453714225983,126.352380725478,0.1943411817953
"2014T1",16,0.514485606921594,0.117084752995813,0.913384753601659,0.265862209052627,0.14287864556636,NA,26.8093795151554,220.372014107643,0.294908794015549
"2014T1",17,0.509410745090396,0.0953984920761382,0.944284214817787,0.3173105697406,0.204678136667572,NA,30.5393624560491,319.984546736814,0.440026901857065
"2014T1",18,0.517814384433517,0.147710307868682,0.89999222235405,0.229240246823955,0.144194111593348,NA,32.8917588164839,222.189869776497,0.283139968229049
"2014T1",19,0.49643922787421,0.152744760623996,0.93464414021814,0.240675427202846,0.10122273364393,NA,27.3918106784813,158.811106110885,0.226296892710659
"2014T1",21,0.481511849128958,0.082613980574573,0.935683559073887,0.124331701997164,0.0489202455540463,NA,27.3847879204412,320.901858101878,0.306715989155767
"2014T1",22,0.472380211551137,0.0893176930782083,0.923197156879654,0.113582090903526,0.0518636399151604,NA,25.8347946707859,182.398835015465,0.294242247749731
"2014T1",23,0.49600381590675,0.0763226023386972,0.951703459612302,0.16191447281116,0.0890551247733391,NA,27.1703998525976,171.314688033466,0.271386170808573
"2014T1",24,0.495102548462913,0.0803375094310219,0.936538900910616,0.145427777452993,0.0537898864246845,NA,27.9887397126797,133.898786156203,0.20290883106752
"2014T1",90,0.483980931711929,0.121567527807854,0.905807980743648,0.0927571688864285,0.05402236267261,NA,29.4755257343866,108.60563033901,0.121197019694042
"2014T2",1,0.524753562892033,0.123784542367973,0.945014687373621,0.273535480439175,0.153219710124696,NA,31.2604945302924,245.230378266631,0.315635313235288
"2014T2",2,0.513819312046929,0.150301945655021,0.889354636396495,0.176746801388031,0.0891337480052104,NA,30.8561195340611,137.707898520714,0.183045928242709
"2014T2",3,0.524841548664055,0.143844057678785,0.910642980173169,0.204506128068997,0.0846884473468529,NA,30.3926004297841,170.644952932264,0.206784312005608
"2014T2",4,0.50279463077235,0.123598281721297,0.939331491014399,0.159826429925747,0.085849607923424,NA,32.1568861612834,183.368753906401,0.227831082976599
"2014T2",5,0.512395187907016,0.154995409837428,0.897153562480111,0.19614831524683,0.0972668645665448,NA,29.7304362823644,177.149936510036,0.267846410834018
"2014T2",6,0.52265679005827,0.189955910443636,0.852687597437113,0.161168015054826,0.0848161727833587,NA,31.3839574338283,146.024746618715,0.19282339192847
"2014T2",7,0.499093167503939,0.10126793804489,0.963063372399656,0.272042363460125,0.125435278221975,NA,30.9857222772058,204.982800639478,0.305208625716523
"2014T2",8,0.500742022290027,0.0756681697927679,0.914896450866485,0.165028612240076,0.0838939605128165,NA,26.5341585298419,154.935607694995,0.201579256361214
"2014T2",9,0.503306438500125,0.0816736536741656,0.950222762238292,0.248367502512074,0.120456656155147,NA,29.8038440912157,212.95653253317,0.326251301796181
"2014T2",10,0.516628634465888,0.0992773788093683,0.909082084286526,0.210877357723171,0.116159090151406,NA,30.585069773632,202.984448663763,0.280879025232864
"2014T2",11,0.495937837249439,0.123437754104855,0.951730347357369,0.274463044932553,0.159711695269666,NA,31.2866152487584,175.618415722398,0.216654007651928
"2014T2",12,0.491216399008227,0.0962345437403472,0.917922093408811,0.163078272179111,0.0783951623763108,NA,28.8092657836854,157.346039375919,0.210683097905686
